strain,type,rating,effects_1,effects_2,effects_3,effects_4,effects_5,flavor_1,flavor_2,flavor_3,flavor_4
Bc-Roadkill,hybrid,4.5,Euphoric,Uplifted,Happy,Giggly,Relaxed,Skunk,Earthy,Woody,
Huckleberry,hybrid,4.2,Happy,Relaxed,Talkative,Uplifted,Euphoric,Berry,Earthy,Sweet,
Blueberry-Space-Cake,indica,5,Euphoric,Relaxed,Tingly,Happy,Giggly,Tropical,Berry,Blueberry,
Huckleberry-Hound,hybrid,5,Creative,Euphoric,Happy,Relaxed,,Blueberry,Skunk,Chemical,
Django,sativa,4.6,Energetic,Uplifted,Happy,Talkative,Euphoric,Sweet,Flowery,Earthy,
Hulkamania,indica,4.5,Aroused,Tingly,Uplifted,Euphoric,Happy,Sweet,Berry,Flowery,
Flowers-For-Algernon,hybrid,5,Uplifted,Creative,Aroused,Talkative,Energetic,Diesel,Citrus,Minty,
Clockwork-Orange,hybrid,5,Relaxed,Happy,Uplifted,Hungry,Aroused,Spicy/Herbal,Sweet,Citrus,
Cloud-9,hybrid,4.3,Euphoric,Energetic,Happy,Giggly,Relaxed,Tropical,Flowery,Rose,
Club-69,indica,5,Sleepy,Relaxed,,,,Diesel,Flowery,Earthy,
Cluster-Bomb,hybrid,4.3,Euphoric,Focused,Relaxed,Sleepy,Uplifted,Sweet,,,
Humboldt,hybrid,4.3,Relaxed,Sleepy,Euphoric,Happy,Uplifted,Flowery,Sweet,Citrus,
Humboldt-Dream,indica,4.8,Relaxed,Creative,Euphoric,Uplifted,Happy,Sweet,Berry,Earthy,
Coconut-Oil,hybrid,3,Aroused,Happy,Relaxed,Uplifted,Creative,Tropical,Flowery,Pungent,
Humboldt-Headband,indica,4.8,Euphoric,Sleepy,Happy,Relaxed,Focused,Sweet,Grape,Diesel,
Cold-Creek-Kush,hybrid,4.3,Relaxed,Happy,Hungry,Euphoric,Uplifted,Earthy,Pine,Woody,
Hurkle,hybrid,4.7,Relaxed,Happy,Hungry,Focused,Sleepy,Sweet,Earthy,Berry,
Hurricane,sativa,4.3,Uplifted,Relaxed,Energetic,Happy,Focused,Spicy/Herbal,Grape,Berry,
Hustler-Kush,hybrid,4.7,Happy,Energetic,Euphoric,Uplifted,Talkative,Earthy,Woody,Sweet,
Colombian-Gold,sativa,4.5,Happy,Euphoric,Energetic,Uplifted,Talkative,Earthy,Pungent,Spicy/Herbal,
I-95,hybrid,4,Creative,Energetic,Euphoric,Focused,Happy,,,,
Ice,hybrid,4.1,Euphoric,Uplifted,Relaxed,Happy,Tingly,Diesel,Flowery,Earthy,
Ice-Cream,hybrid,4.1,Happy,Relaxed,Uplifted,Focused,Euphoric,Sweet,Vanilla,Woody,
Blueberry-Trainwreck,hybrid,4.4,Happy,Uplifted,Energetic,Focused,Relaxed,Blueberry,Berry,Sweet,
Ice-Princess,hybrid,5,Happy,Relaxed,Sleepy,Uplifted,Euphoric,Tropical,,,
Ice-Queen,hybrid,4.6,Euphoric,Relaxed,Happy,Creative,Talkative,Sweet,Earthy,Flowery,
Ice-Wreck,hybrid,4.3,Relaxed,Euphoric,Creative,Uplifted,Tingly,Earthy,Woody,Sweet,
Iced-Grapefruit,hybrid,4.3,Happy,Euphoric,Relaxed,Focused,Creative,Citrus,Grape,Grapefruit,
Iced-Widow,indica,4.4,Relaxed,Happy,Euphoric,Uplifted,Giggly,Strawberry,Sweet,Pungent,
Ifc-Og,indica,0,None,,,,,None,,,
Ig-Kush,hybrid,4.5,Sleepy,Happy,Relaxed,Tingly,Hungry,Sweet,Orange,Earthy,
Ill-Og,indica,3.7,Euphoric,Giggly,Happy,Relaxed,Uplifted,Earthy,Pungent,Pine,
Illuminati-Og,indica,4.7,Relaxed,Sleepy,Focused,Talkative,Euphoric,Earthy,Sweet,Pungent,
In-The-Pines,sativa,4.4,Happy,Uplifted,Focused,Relaxed,Euphoric,Pine,Sweet,Pineapple,
Bc-Sweet-Tooth,indica,4.3,Uplifted,Happy,Relaxed,Sleepy,Euphoric,Sweet,Honey,Tree,Fruit
13-Dawgs,hybrid,4.2,Tingly,Creative,Hungry,Relaxed,Uplifted,Apricot,Citrus,Grapefruit,
Colombian-Mojito,sativa,5,Aroused,Talkative,Tingly,Uplifted,Creative,Minty,Sweet,Citrus,
Blueberry-Triple-Og,indica,4,None,,,,,None,,,
Do-Over-Og,hybrid,4.7,Talkative,Uplifted,Creative,Euphoric,Happy,,,,
Incredible-Bulk,indica,4.5,Relaxed,Happy,Hungry,Sleepy,Euphoric,Earthy,Skunk,Spicy/Herbal,
Fn-Louzer,indica,0,Sleepy,Relaxed,Aroused,Tingly,Focused,Diesel,Earthy,Pungent,
Blueberry-Waltz,indica,4.8,Talkative,Uplifted,Euphoric,Happy,Giggly,Sweet,Blueberry,Tropical,
Blueberry-Yum-Yum,hybrid,4.6,Happy,Uplifted,Euphoric,Relaxed,Giggly,Blueberry,Sweet,Berry,
Blues,hybrid,4,Happy,Relaxed,Uplifted,Creative,Sleepy,Sweet,Earthy,Berry,
Blukashima,hybrid,5,Creative,,,,,None,,,
Bluniverse,hybrid,4.7,Euphoric,Uplifted,Happy,Tingly,Creative,Blueberry,Berry,Vanilla,
Dolla-Sign-Og-Kush,indica,5,Creative,Sleepy,Uplifted,Energetic,Hungry,Sweet,Flowery,Pungent,
Boggle-Gum,hybrid,4,Happy,Relaxed,Hungry,Sleepy,Giggly,Sweet,Earthy,Grape,
Booger,hybrid,4.7,Happy,Focused,Uplifted,Creative,Giggly,Earthy,Skunk,Diesel,
Boombaye,hybrid,0,None,,,,,,,,
Bootlegger,hybrid,0,Sleepy,Giggly,Hungry,Tingly,Happy,Sweet,Earthy,Pungent,
Bordello,hybrid,4.5,Relaxed,Euphoric,Uplifted,Happy,Creative,Sweet,Citrus,Pine,
Boss-Hogg,hybrid,4.5,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Earthy,Sweet,Pungent,
Boysenberry,hybrid,3.6,Giggly,Relaxed,Talkative,Energetic,Euphoric,Berry,Sweet,Earthy,
Brain-Candy,hybrid,5,Creative,,,,,Sweet,,,
Brains-Damage,indica,4.4,Euphoric,Focused,Relaxed,Sleepy,Hungry,Earthy,Woody,Sweet,
Brainstorm-Haze,sativa,3.9,Talkative,Happy,Uplifted,Focused,Energetic,Sweet,Minty,Earthy,
Domino,indica,4,Sleepy,Happy,Tingly,Uplifted,Euphoric,,,,
Don-Shula,hybrid,5,Uplifted,Euphoric,Relaxed,Talkative,Happy,Citrus,Tropical,Diesel,
Donegal,hybrid,3.8,Euphoric,Relaxed,Sleepy,Talkative,Energetic,Earthy,Woody,Pungent,
Donna-Og,hybrid,4.6,Creative,Euphoric,Relaxed,Happy,Hungry,Citrus,Pungent,Sweet,
Doobiebird-Daydream,hybrid,4.6,Euphoric,Tingly,Happy,Talkative,Relaxed,Blueberry,Earthy,Sweet,
Doox,sativa,4.4,Uplifted,Energetic,Happy,Focused,Tingly,Sweet,Citrus,Lime,
Dopium,hybrid,4.5,Relaxed,Euphoric,Focused,Energetic,Uplifted,Earthy,Pine,Pungent,
Brainwreck,hybrid,4.7,Creative,Focused,Uplifted,Happy,Euphoric,Citrus,Earthy,Sweet,
Dorit,indica,4.4,Relaxed,Euphoric,Uplifted,Tingly,Sleepy,Ammonia,Spicy/Herbal,Minty,
Blurple,hybrid,4.3,Happy,Euphoric,Energetic,Hungry,Focused,Grape,Sweet,Flowery,
Blush,hybrid,5,Talkative,Creative,Happy,Hungry,Relaxed,Pepper,Honey,Earthy,
Do-Si-Dos,indica,4.8,Relaxed,Euphoric,Sleepy,Happy,Hungry,Earthy,Sweet,Pungent,
Bob-Saget,sativa,4.8,Uplifted,Happy,Relaxed,Creative,Talkative,Sage,Chemical,Diesel,
Doctor-Doctor,sativa,5,Relaxed,Uplifted,Focused,Happy,Aroused,Sweet,Strawberry,Citrus,
Bodega-Bubblegum,hybrid,0,None,,,,,None,,,
Dog-Shit,hybrid,4.3,Creative,Euphoric,Relaxed,Uplifted,Happy,Pungent,Earthy,Berry,
Bog-Bubble,hybrid,4.4,Uplifted,Happy,Relaxed,Creative,Hungry,Flowery,Berry,Earthy,
Dogwalker-Og,hybrid,4.7,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Earthy,Skunk,Pungent,
Bogart,hybrid,4,Happy,Talkative,Uplifted,Euphoric,Giggly,Sweet,Citrus,Tropical,
Brand-X,indica,5,Sleepy,Relaxed,Hungry,Happy,Euphoric,Earthy,Pine,Tar,
Double-Barrel-Og,hybrid,4.2,Relaxed,Euphoric,Hungry,Sleepy,Uplifted,Earthy,Citrus,,
Brandywine,indica,4.5,Relaxed,Happy,Uplifted,Tingly,Euphoric,Grape,Rose,Honey,
Brazil-Amazonia,sativa,4.5,Uplifted,Euphoric,Focused,Happy,Relaxed,Spicy/Herbal,Berry,Earthy,
Brian-Berry-Cough,hybrid,4.5,Happy,Uplifted,Relaxed,Energetic,Hungry,Berry,Tropical,Sweet,
Bright-Fire,indica,5,Hungry,Relaxed,Uplifted,Creative,Euphoric,Pungent,Earthy,Citrus,
Double-D,indica,4.3,Euphoric,Happy,Uplifted,Aroused,Energetic,Sweet,Pungent,Skunk,
Bright-Moments,hybrid,0,None,,,,,None,,,
Double-Diesel,sativa,4.2,Creative,Happy,Focused,Energetic,Euphoric,Diesel,Lime,Citrus,
Broke-Diesel,hybrid,5,Uplifted,Euphoric,Creative,Energetic,Happy,,,,
Double-Dream,hybrid,4.5,Uplifted,Relaxed,Happy,Focused,Euphoric,Sweet,Earthy,Berry,
Bronze-Whaler,indica,0,Hungry,Relaxed,,,,None,,,
Double-Dutch,hybrid,4.3,Hungry,Uplifted,Talkative,Creative,Energetic,Tar,Earthy,Sweet,
Brooklyn-Mango,hybrid,4.9,Euphoric,Aroused,Uplifted,Happy,Talkative,Mango,Tropical,Citrus,
Double-Mint,indica,5,Uplifted,Euphoric,Sleepy,Talkative,Tingly,Minty,Mint,Lemon,
Bruce-Banner,hybrid,4.6,Happy,Euphoric,Relaxed,Uplifted,Creative,Earthy,Diesel,Pungent,
Incredible-Hulk,sativa,4.5,Happy,Euphoric,Focused,Relaxed,Uplifted,Sweet,Earthy,Citrus,
Bruce-Banner-3,hybrid,4.6,Euphoric,Relaxed,Happy,Uplifted,Energetic,Sweet,Earthy,Flowery,
Bsc,hybrid,4.5,Relaxed,Happy,Hungry,Euphoric,Giggly,Earthy,Pungent,Sweet,
Double-Og,indica,4.6,Sleepy,Happy,Euphoric,Relaxed,Focused,Earthy,Diesel,Skunk,
Bubba-Berry,indica,5,Sleepy,Happy,Relaxed,,,None,,,
Double-Purple-Doja,indica,4.7,Relaxed,Creative,Sleepy,Happy,Euphoric,Earthy,Grape,Pungent,
Bubba-Doja,indica,4,None,,,,,None,,,
Double-Tangie-Banana,hybrid,4.4,Happy,Uplifted,Relaxed,Energetic,Euphoric,Citrus,Sweet,Orange,
Bubba-Fresh,hybrid,5,Aroused,Sleepy,Tingly,Uplifted,Creative,Citrus,Earthy,Pine,
Double-Tap,indica,5,Talkative,Happy,Relaxed,,,None,,,
Bubba-Hash,indica,0,None,,,,,None,,,
Dougs-Varin,sativa,5,Uplifted,Creative,Energetic,Focused,Talkative,None,,,
Bubba-Kush,indica,4.3,Relaxed,Happy,Sleepy,Euphoric,Hungry,Earthy,Sweet,Woody,
Bubba-Og,indica,4.3,Happy,Relaxed,Sleepy,Euphoric,Uplifted,Earthy,Sweet,Pungent,
Bubba-Tom-Hayes,hybrid,4.9,Euphoric,Happy,Uplifted,Creative,Talkative,Earthy,Pungent,Ammonia,
Dr-Bubbles,hybrid,4,None,,,,,None,,,
Dr-Feelgood,hybrid,4.5,Happy,Relaxed,Tingly,Euphoric,Sleepy,Earthy,Woody,Nutty,
Dr-Funk,indica,4.6,Relaxed,Happy,Tingly,Sleepy,Aroused,Earthy,Berry,Blueberry,
Dr-Grinspoon,sativa,4.8,Happy,Energetic,Uplifted,Creative,Talkative,Earthy,Citrus,Pungent,
Dr-Quantum,hybrid,0,None,,,,,None,,,
Bubba-X-Skunk,hybrid,5,Creative,Euphoric,Relaxed,Happy,Tingly,Diesel,Skunk,Pine,
Dr-Who,hybrid,4.5,Relaxed,Happy,Euphoric,Uplifted,Creative,Sweet,Earthy,Berry,
Bubbas-Bitch,indica,4,Sleepy,Tingly,Uplifted,Hungry,Relaxed,Flowery,Rose,Earthy,
Dragon-Og,hybrid,4.4,Uplifted,Happy,Relaxed,Euphoric,Focused,Diesel,Berry,Tropical,
Bubbas-Gift,indica,4.6,Relaxed,Euphoric,Happy,Uplifted,Focused,Sweet,Flowery,Berry,
Industrial-Plant,hybrid,4.1,Energetic,Uplifted,Euphoric,Happy,Relaxed,Citrus,Spicy/Herbal,Sweet,
Bubble-Cheese,indica,3.8,Relaxed,Hungry,Sleepy,Tingly,Talkative,Blue,Cheese,Cheese,Pungent
Bubble-Gum,hybrid,4.1,Happy,Relaxed,Euphoric,Uplifted,Hungry,Sweet,Flowery,Berry,
Bubbleberry,hybrid,4.4,Happy,Relaxed,Focused,Uplifted,Hungry,Sweet,Berry,Blueberry,
24K-Gold,hybrid,4.6,Happy,Relaxed,Euphoric,Uplifted,Talkative,Citrus,Earthy,Orange,
3-Bears-Og,indica,0,None,,,,,None,,,
3-Kings,hybrid,4.4,Relaxed,Euphoric,Happy,Uplifted,Hungry,Earthy,Sweet,Pungent,
303-Og,indica,4.2,Relaxed,Happy,Euphoric,Uplifted,Giggly,Citrus,Pungent,Earthy,
Dragons-Breath,hybrid,4.6,Happy,Uplifted,Talkative,Relaxed,Creative,Spicy/Herbal,Earthy,Skunk,
Ingrid,indica,4.3,Relaxed,Euphoric,Creative,Sleepy,Happy,Cheese,Pungent,Skunk,
Bubblegum-Kush,indica,4.3,Relaxed,Happy,Sleepy,Uplifted,Talkative,Sweet,Earthy,Flowery,
Intergalactic,hybrid,0,Creative,Giggly,Happy,Relaxed,,None,,,
Irene-Kush,hybrid,4.6,Relaxed,Happy,Creative,Euphoric,Focused,Earthy,Citrus,Pine,
Bubblegun,hybrid,3.8,Happy,Focused,Aroused,Talkative,Uplifted,Pepper,Mint,Blueberry,
Irish-Cream,indica,4,Uplifted,Euphoric,Relaxed,Sleepy,Giggly,None,,,
Bubblicious,hybrid,4.3,Happy,Relaxed,Talkative,Giggly,Uplifted,Sweet,Blueberry,Berry,
Iron-Triangle,hybrid,4.2,Happy,Giggly,Tingly,Uplifted,Focused,Diesel,Spicy/Herbal,Sweet,
Buckeye-Purple,indica,4.3,Sleepy,Relaxed,Euphoric,Focused,Happy,Tropical,Diesel,Grape,
Island-Haze,sativa,4.8,Creative,Uplifted,Relaxed,Sleepy,Talkative,Sweet,Berry,Blueberry,
Buddha-Haze,sativa,4.6,Giggly,Happy,Uplifted,Euphoric,Talkative,Sweet,Earthy,Nutty,
Island-Maui-Haze,sativa,4.5,Euphoric,Tingly,Creative,Happy,Relaxed,Tropical,Mango,Ammonia,
Buddha-Tahoe,indica,4.5,Relaxed,Happy,Euphoric,Uplifted,Hungry,Earthy,Pungent,Sweet,
Island-Sweet-Skunk,sativa,4.3,Happy,Relaxed,Uplifted,Energetic,Focused,Skunk,Sweet,Tropical,
Buddhas-Hand,hybrid,4.7,Focused,Euphoric,Energetic,Aroused,Uplifted,Citrus,Lemon,Pungent,
Buddhas-Sister,indica,4.3,Relaxed,Sleepy,Uplifted,Happy,Euphoric,Earthy,Flowery,Sweet,
Buffalo-Bill,sativa,4.2,Relaxed,Uplifted,Tingly,Euphoric,Happy,Earthy,Woody,Pine,
J-27,sativa,4.2,Euphoric,Energetic,Focused,Uplifted,Creative,Diesel,Earthy,Woody,
Colorado-Bubba,indica,4.6,Relaxed,Happy,Sleepy,Uplifted,Creative,Pineapple,Mango,Pine,
Dreadlock,hybrid,4,Focused,Relaxed,Talkative,Tingly,Uplifted,Earthy,Diesel,Sage,
Dream-Beaver,sativa,4.7,Happy,Uplifted,Energetic,Talkative,Creative,Pineapple,Woody,Spicy/Herbal,
Colorado-Chem,hybrid,4.4,Relaxed,Uplifted,Euphoric,Happy,Tingly,Earthy,Sweet,Skunk,
3D-Cbd,sativa,4.6,Uplifted,Focused,Happy,Talkative,Relaxed,Earthy,Woody,Flowery,
Forbidden-Fruit,indica,4.6,Relaxed,Happy,Euphoric,Sleepy,Creative,Citrus,Grapefruit,Tropical,
3Rd-Coast-Panama-Chunk,hybrid,4.7,Energetic,Happy,Talkative,Uplifted,,Pine,Diesel,,
3X-Crazy,indica,4.4,Relaxed,Tingly,Happy,Euphoric,Uplifted,Earthy,Grape,Sweet,
Fortune-Cookies,hybrid,4.6,Relaxed,Happy,Focused,Euphoric,Creative,Earthy,Honey,Sweet,
501St-Og,hybrid,4.5,Relaxed,Euphoric,Sleepy,Happy,Talkative,Earthy,Pine,Skunk,
5Th-Element,indica,4.4,Relaxed,Focused,Euphoric,Uplifted,Aroused,Earthy,Woody,Pine,
Four-Cups,hybrid,5,Aroused,Talkative,Tingly,Uplifted,Energetic,Earthy,Diesel,Spicy/Herbal,
707-Headband,hybrid,4.3,Euphoric,Happy,Uplifted,Talkative,Creative,Earthy,Woody,Pungent,
8-Ball-Kush,indica,4.3,Relaxed,Uplifted,Happy,Creative,Euphoric,Citrus,Earthy,Pine,
818-Og,indica,4.7,Relaxed,Happy,Euphoric,Giggly,Sleepy,Earthy,Diesel,Flowery,
831-Og,indica,5,None,,,,,None,,,
9-Pound-Hammer,indica,4.5,Relaxed,Sleepy,Euphoric,Happy,Hungry,Earthy,Sweet,Berry,
91-Krypt,indica,4.7,Relaxed,Euphoric,Happy,Hungry,Uplifted,Earthy,Pungent,Berry,
Four-Star-General,hybrid,4.8,Euphoric,Hungry,Sleepy,Relaxed,Happy,Diesel,Flowery,Earthy,
98-White-Widow,hybrid,4.7,Relaxed,Aroused,Creative,Happy,Energetic,Flowery,Violet,Diesel,
Four-Way,indica,5,Sleepy,Euphoric,Relaxed,Focused,,Pepper,Sweet,Honey,
Frankenstein,indica,4.4,Relaxed,Sleepy,Euphoric,Happy,Tingly,Lavender,Tobacco,Earthy,
Franks-Gift,hybrid,3.9,Relaxed,Happy,Focused,Giggly,Uplifted,Skunk,Woody,Tobacco,
Bugatti-Og,hybrid,4.6,Relaxed,Happy,Uplifted,Hungry,Sleepy,Berry,Earthy,Pine,
Jack-47,hybrid,4.7,Happy,Euphoric,Relaxed,Giggly,Energetic,Earthy,Lemon,Spicy/Herbal,
Jack-Burton,indica,4.5,Aroused,Sleepy,Uplifted,Creative,Euphoric,Sweet,Flowery,Rose,
Jack-Diesel,sativa,4.2,Euphoric,Happy,Energetic,Giggly,Creative,Diesel,Earthy,Sweet,
Jack-Flash,hybrid,4.2,Uplifted,Euphoric,Happy,Relaxed,Energetic,Citrus,Sweet,Earthy,
Jack-Frost,hybrid,4.4,Happy,Euphoric,Relaxed,Energetic,Uplifted,Pine,Citrus,Earthy,
Jack-Haze,hybrid,4.1,Happy,Energetic,Euphoric,Uplifted,Giggly,Earthy,Woody,Spicy/Herbal,
Jack-Herer,sativa,4.4,Happy,Uplifted,Energetic,Focused,Euphoric,Earthy,Pine,Woody,
Jack-Kush,hybrid,4.1,Happy,Energetic,Giggly,Euphoric,Relaxed,Sweet,Citrus,Pungent,
Jack-Skellington,sativa,4.7,Euphoric,Relaxed,Happy,Creative,Focused,Diesel,Pungent,Earthy,
Jack-Smack,sativa,5,Focused,Happy,Creative,Aroused,Energetic,Earthy,Tree,Fruit,Flowery
Jack-The-Ripper,sativa,4.2,Happy,Energetic,Uplifted,Euphoric,Creative,Citrus,Earthy,Pine,
A-10,indica,3.8,Relaxed,Focused,Happy,Sleepy,Uplifted,Citrus,Pungent,Sweet,
Jack-Widow,hybrid,4.2,Happy,Uplifted,Euphoric,Creative,Hungry,Sweet,Mango,Earthy,
Jack-Wreck,sativa,4.5,Energetic,Happy,Uplifted,Euphoric,Creative,Citrus,Pine,Sweet,
A-Dub,hybrid,4.4,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Diesel,Pepper,Earthy,
Jackalope,sativa,4.2,Happy,Relaxed,Aroused,Sleepy,Talkative,Citrus,Earthy,Flowery,
A-Train,hybrid,4.1,Creative,Euphoric,Relaxed,Happy,Hungry,Earthy,Woody,Citrus,
Jacked-Up,hybrid,4.1,Energetic,Uplifted,Hungry,Aroused,Creative,Berry,Citrus,Lemon,
Jacks-Cleaner,sativa,4.2,Happy,Focused,Energetic,Euphoric,Uplifted,Sweet,Citrus,Lemon,
Jacks-Dream,hybrid,4.3,Uplifted,Creative,Energetic,Focused,Happy,Berry,Blueberry,Grape,
Jacky-Girl,hybrid,0,None,,,,,None,,,
Jacky-White,sativa,4.4,Focused,Energetic,Creative,Happy,Euphoric,Sweet,Grapefruit,Citrus,
Aberdeen,hybrid,4.3,Uplifted,Euphoric,Giggly,Energetic,Sleepy,Menthol,Blue,Cheese,Chemical
Abusive-Og,indica,4.5,Relaxed,Euphoric,Sleepy,Happy,Giggly,Earthy,Pine,Diesel,
Acapulco-Gold,sativa,4.5,Happy,Uplifted,Euphoric,Energetic,Relaxed,Earthy,Sweet,Pungent,
Jah-Kush,hybrid,4.6,Happy,Euphoric,Aroused,Giggly,Uplifted,Earthy,Citrus,Sweet,
Acdc,hybrid,4.5,Relaxed,Happy,Uplifted,Focused,Euphoric,Earthy,Pine,Woody,
Ace-Killer-Og,indica,4.8,Relaxed,Sleepy,Euphoric,Happy,Uplifted,Earthy,Diesel,Spicy/Herbal,
Jahwaiian,sativa,4.7,Aroused,Creative,Energetic,Euphoric,Happy,Sweet,Tropical,Earthy,
Ace-Of-Spades,indica,4.1,Relaxed,Euphoric,Happy,Sleepy,Hungry,Earthy,Sweet,Woody,
Jamaican,sativa,4.3,Uplifted,Happy,Creative,Energetic,Talkative,Earthy,Pungent,Woody,
Aceh,sativa,4.4,Creative,Euphoric,Talkative,Energetic,Happy,Earthy,Mango,Lemon,
Jamaican-Dream,sativa,4.5,Happy,Euphoric,Uplifted,Relaxed,Energetic,Lime,Sweet,Pineapple,
Acid,hybrid,4.4,Creative,Happy,Euphoric,Energetic,Uplifted,Lemon,Diesel,Earthy,
Acid-Dough,sativa,5,Talkative,Giggly,Happy,Hungry,Relaxed,None,,,
Afcrack,hybrid,3.4,Tingly,Euphoric,Happy,Relaxed,Uplifted,Sweet,Flowery,Earthy,
Afgahni-Bullrider,indica,4.4,Focused,Uplifted,Happy,Creative,Relaxed,Lemon,Citrus,Sweet,
Jamaican-Lion,sativa,4.7,Uplifted,Relaxed,Happy,Energetic,Talkative,Earthy,Lime,Tropical,
Afghan-Big-Bud,indica,4,Euphoric,Happy,Relaxed,Sleepy,Talkative,Pungent,Lemon,Peach,
Jamaican-Pearl,sativa,4.2,Euphoric,Happy,Uplifted,Creative,Energetic,Tropical,Earthy,Sweet,
Afghan-Cow,sativa,4.3,Focused,Uplifted,Happy,Euphoric,Talkative,Sweet,Vanilla,,
Jamba-Juice,hybrid,5,Tingly,Giggly,Happy,Talkative,Energetic,Earthy,Sweet,Berry,
Afghan-Diesel,hybrid,3.7,Euphoric,Relaxed,Uplifted,Happy,Creative,Earthy,Diesel,Chemical,
Jane-Doe,hybrid,4.3,Euphoric,Happy,Relaxed,Tingly,Sleepy,Sweet,Berry,Citrus,
Afghan-Hawaiian,indica,4.1,Tingly,Sleepy,Relaxed,Energetic,Aroused,Nutty,Earthy,Chestnut,
Jasmin,hybrid,4.6,Euphoric,Relaxed,Happy,Sleepy,Hungry,Sweet,Lavender,Rose,
Afghan-Haze,hybrid,4.3,Sleepy,Relaxed,Giggly,Happy,Creative,Earthy,Flowery,Tea,
Jawa-Pie,indica,4.5,Relaxed,Happy,Sleepy,Uplifted,Euphoric,Lime,Mint,Sweet,
Afghan-Kush,indica,4.1,Relaxed,Sleepy,Happy,Hungry,Euphoric,Earthy,Flowery,Woody,
Jazz,hybrid,4.3,Uplifted,Relaxed,Euphoric,Energetic,Happy,Sweet,Flowery,Pepper,
Afghan-Skunk,indica,4.3,Sleepy,Relaxed,Happy,Hungry,Giggly,Skunk,Woody,Sweet,
Jean-Guy,hybrid,4.4,Euphoric,Uplifted,Happy,Energetic,Creative,Lemon,Sweet,Woody,
Jedi-Kush,indica,4.5,Euphoric,Relaxed,Happy,Uplifted,Sleepy,Earthy,Pungent,Sweet,
Jelly-Roll,indica,4.8,Relaxed,Happy,Tingly,,,Sweet,Pungent,,
Afghan-Sour-Kush,indica,4.5,Hungry,Relaxed,Aroused,Sleepy,Euphoric,Earthy,Diesel,Pungent,
Afghan-Widow,hybrid,4.5,Creative,Energetic,Euphoric,Focused,Uplifted,Flowery,Diesel,Sweet,
Afghani,indica,4.3,Relaxed,Sleepy,Happy,Euphoric,Hungry,Earthy,Sweet,Pine,
Jenni,sativa,4.8,Euphoric,Happy,Relaxed,Uplifted,Creative,Sweet,Berry,Tree,Fruit
Afghani-Cbd,indica,4.6,Relaxed,Happy,Sleepy,Tingly,Creative,Flowery,Chemical,Spicy/Herbal,
Jenny-Kush,hybrid,4.6,Happy,Energetic,Talkative,Euphoric,Hungry,Citrus,Earthy,Lemon,
Afghanica,hybrid,4.1,Relaxed,Sleepy,Happy,Hungry,Euphoric,Sweet,Flowery,Skunk,
Jericho-Haze,sativa,5,Tingly,Uplifted,Creative,Energetic,Focused,Strawberry,Apple,Earthy,
Afghanimal,indica,5,Hungry,Relaxed,Aroused,Sleepy,Focused,Citrus,Skunk,,
Jesses-Girl,indica,4.8,Euphoric,Aroused,Uplifted,Relaxed,Happy,Earthy,Spicy/Herbal,Woody,
Afghooey,indica,4.1,Uplifted,Euphoric,Relaxed,Talkative,Creative,Earthy,Sweet,Woody,
Jesus,hybrid,4.5,Happy,Relaxed,Euphoric,Giggly,Tingly,Earthy,Citrus,Lemon,
Afgoo,indica,4.1,Relaxed,Sleepy,Happy,Euphoric,Hungry,Sweet,Pine,Woody,
Jesus-Og,sativa,4.6,Uplifted,Happy,Euphoric,Energetic,Relaxed,Lemon,Citrus,Earthy,
J1,hybrid,4.5,Euphoric,Happy,Creative,Uplifted,Energetic,Citrus,Pine,Sweet,
Dream-Berry,indica,4.5,Relaxed,Sleepy,Euphoric,Happy,Giggly,Berry,Citrus,Diesel,
Colorado-Clementines,indica,4.5,Relaxed,Happy,Sleepy,Euphoric,Hungry,Citrus,Earthy,Orange,
Commerce-City-Kush,indica,4.3,Relaxed,Sleepy,Euphoric,Happy,Talkative,Diesel,Sweet,Flowery,
Concord-Grape-Blockhead,hybrid,4.3,Creative,Euphoric,Giggly,Happy,Relaxed,Sweet,Grape,,
Dream-Lotus,hybrid,4.3,Happy,Uplifted,Relaxed,Euphoric,Energetic,Spicy/Herbal,Woody,Tea,
Dream-Police,hybrid,3.7,Uplifted,Talkative,Energetic,Euphoric,Creative,Pepper,Blueberry,Citrus,
Dream-Queen,hybrid,4.3,Happy,Uplifted,Euphoric,Relaxed,Energetic,Citrus,Sweet,Earthy,
Confidential-Cheese,indica,4.5,Sleepy,Uplifted,Relaxed,Tingly,Happy,Cheese,Pine,Woody,
Confidential-Wreck,hybrid,4.2,Hungry,Relaxed,Tingly,Uplifted,Creative,,,,
Jet-Fuel,hybrid,4.6,Happy,Uplifted,Relaxed,Euphoric,Focused,Diesel,Pungent,Earthy,
Jilly-Dawg,hybrid,5,Uplifted,Euphoric,Giggly,Happy,,Citrus,Mango,Pungent,
Jillybean,hybrid,4.3,Happy,Uplifted,Euphoric,Relaxed,Creative,Sweet,Citrus,Orange,
Afgooey,indica,4.3,Relaxed,Happy,Sleepy,Giggly,Uplifted,Woody,Pine,Pungent,
Afkansastan,indica,3.8,Uplifted,Euphoric,Giggly,Happy,Relaxed,Tobacco,Earthy,,
